Angles	Fields	Field before	Fields after	Frequency	Magnitude	Phase	Real	Imaginary
-2.80000000E+1	-6.50000000E-3	-4.56427834E-3	-4.54541108E-3	2.43025920E+9	-8.43740041E+1	-2.77689223E+0	-5.64616947E-5	-2.15558771E-5
-2.80000000E+1	-6.00000000E-3	-4.06772424E-3	-4.05072459E-3	2.43025920E+9	-8.43506512E+1	-2.77333590E+0	-5.65364776E-5	-2.18151096E-5
-2.80000000E+1	-5.50000000E-3	-3.57077517E-3	-3.55743455E-3	2.43025920E+9	-8.43358782E+1	-2.77254819E+0	-5.66154861E-5	-2.18968481E-5
-2.80000000E+1	-5.00000000E-3	-3.08831345E-3	-3.06767518E-3	2.43025920E+9	-8.43812587E+1	-2.77812431E+0	-5.64410497E-5	-2.14683569E-5
-2.80000000E+1	0.00000000E+0	1.78513684E-3	1.90694362E-3	2.43025920E+9	-8.43571477E+1	-2.77658940E+0	-5.65648311E-5	-2.16148805E-5
-2.80000000E+1	5.00000000E-3	6.74566353E-3	6.87118249E-3	2.43025920E+9	-8.43278919E+1	-2.76853091E+0	-5.65790620E-5	-2.21444625E-5
-2.80000000E+1	5.50000000E-3	7.34494673E-3	7.38500201E-3	2.43025920E+9	-8.43858254E+1	-2.76846213E+0	-5.62014315E-5	-2.20011196E-5
-2.80000000E+1	6.00000000E-3	7.86225849E-3	7.88193903E-3	2.43025920E+9	-8.43342166E+1	-2.76409145E+0	-5.64390840E-5	-2.23791226E-5
-2.80000000E+1	6.50000000E-3	8.34340309E-3	8.36950227E-3	2.43025920E+9	-8.42829985E+1	-2.76718014E+0	-5.68421311E-5	-2.23360145E-5
-2.80000000E+1	7.00000000E-3	8.84158284E-3	8.85931397E-3	2.43025920E+9	-8.43765622E+1	-2.76226209E+0	-5.61237664E-5	-2.23729930E-5
-2.80000000E+1	7.50000000E-3	9.33336060E-3	9.35574592E-3	2.43025920E+9	-8.43742864E+1	-2.75559467E+0	-5.59880173E-5	-2.27526542E-5
-2.80000000E+1	8.00000000E-3	9.81816521E-3	9.84216433E-3	2.43025920E+9	-8.44468880E+1	-2.74996580E+0	-5.53941036E-5	-2.28754344E-5
-2.80000000E+1	8.50000000E-3	1.03141143E-2	1.03370834E-2	2.43025920E+9	-8.45624183E+1	-2.74306725E+0	-5.45051679E-5	-2.29497341E-5
-2.80000000E+1	9.00000000E-3	1.08211962E-2	1.08357276E-2	2.43025920E+9	-8.47453100E+1	-2.75303049E+0	-5.35907320E-5	-2.19387123E-5
-2.80000000E+1	9.50000000E-3	1.13023776E-2	1.13252235E-2	2.43025920E+9	-8.48260429E+1	-2.78180731E+0	-5.36983455E-5	-2.01990518E-5
-2.80000000E+1	1.00000000E-2	1.17996116E-2	1.18212606E-2	2.43025920E+9	-8.47504804E+1	-2.81335190E+0	-5.47832137E-5	-1.86569935E-5
